ODS,Entidad,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Lima,58303142.64708507,83299925.18276739,84158848.47528888,75752286.3474096,75133400.48075162,82111605.86470804,86771389.10566366,84323210.96897449,78746894.27647054
1,Perú,565652992.0923537,464884579.3525057,761800459.5731516,630828025.0289277,518923612.67591834,584251021.342765,558342646.3374691,642387842.3947376,1986153238.2953289
2,Lima,21431094.541347157,21592975.06054758,65342181.540306285,36383352.0284217,31177977.76675995,31527825.17298084,38161242.05075581,30783242.94390692,57861871.3370243
2,Perú,54613411.79759294,332298017.7068574,311126401.6152851,377780326.1792066,392857807.28307825,387050953.0625638,394636752.0543576,414724645.7841738,422897471.7614303
3,Lima,8502791.958184782,8276130.192460868,11272291.519345824,165932886.02656403,171617673.930454,161864815.19378665,132186154.27463402,159029164.2519013,114116828.73484997
3,Perú,1009443778.9224277,1229867860.0246496,1532375274.4378831,1724897790.0410383,1545258610.499085,1582333648.5972767,1792729844.261189,1713313419.4775312,2169945060.676717
4,Lima,19576130.37460006,19576130.37460006,19572477.414829724,19576130.37460006,19579783.334370393,19576130.37460006,19576130.37460006,19576130.37460006,19576130.37460006
4,Perú,1462127381.6916842,1713579682.8587308,2215624112.792343,2525041780.340866,2462103271.820331,2355308572.150162,2149930705.711889,2253105850.5988355,2037302760.3416586
5,Lima,116695.89645557023,192448.69634044467,163857.84007065982,37026.8624380181,55390.80300315865,172824.33452165665,69431.9151958583,172824.33452165665,574918.3281478869
5,Perú,52904922.01378704,70210790.70171529,81798869.6120322,84943402.12147099,79081726.37479194,85565190.18297109,91715518.26408745,116001296.7873817,109325768.01019403
6,Perú,246530878.7592588,443121626.4281951,617177824.2272476,821301140.0695444,84893025.61623892,84799202.00263163,81153402.50101727,104583165.56749225,656265712.8939056
7,Perú,17813904.298787124,31568567.06589024,49129554.21051749,210574292.4554831,136797622.44316792,322511792.12673956,206882352.08720955,108554521.29395899,166800996.41273883
8,Lima,15855375.885223798,29215857.936749402,20766953.744997013,18533492.87751864,20769408.162395984,20063724.941893563,19447952.01142331,19373555.37846319,22898352.522898965
8,Perú,1783385065.8102994,1978277605.1500163,2316879690.768601,2312823926.6338887,2316590521.4434,2500625465.6520576,2204932233.058826,2120879126.1036422,3564637254.3512225
9,Lima,15971569.473422263,14303106.993392263,4398964.302065913,169487077.75715312,499083544.5809186,255811456.1751749,77711789.62596275,15077115.965277607,23689984.203293774
9,Perú,138530697.0165304,160553317.23393,226497526.74870667,287807817.4968849,292913781.70050377,292952753.1700576,358311174.2000858,462770584.92598987,489099522.57186353
11,Lima,589297286.9678948,524804307.63065976,563765521.6983732,553650204.6393244,628986296.1075027,577150785.8387648,1446264484.59777,743160038.9023935,615845119.2836623
11,Perú,407246705.7531372,121624982.82789604,152188711.17553017,262293645.2017126,527970589.3345284,647214101.0279802,709225491.2621832,716233562.083461,671082303.8417485
14,Perú,9492305.89899246,15256934.346556755,22831255.405790094,30062569.472118028,28487238.515986282,32756149.873023666,28725429.594121452,30178793.995531928,23358481.31265498
15,Lima,718155.3065284002,718155.3065284002,718155.3065284002,534157.9375874908,639522.5676532299,558415.3211802945,696583.1969256776,807334.889232222,1072917.926591486
15,Perú,17368812.050683472,28674506.377588492,48040602.72687279,84673661.90911353,65820207.7234226,66515384.12260758,79960646.62555918,78858875.67378962,73379495.2016192
16,Lima,335467280.9100345,341387016.19651693,364735838.1717762,288798097.7552134,141042841.1091657,327757503.7488923,349672951.51855403,430459966.25298005,472345087.6060094
16,Perú,673668564.0827175,745947072.8574817,854883169.8424127,929474081.868562,893191313.1122465,932424416.6388277,980377529.1090528,1092373769.819212,1030873912.8407639
